GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment,com.ritika.springboot.assignment.controller,EmployeeController,59,3,2,0,17,1,6,1,5,1
assignment,com.ritika.springboot.assignment.controller,UserController,43,6,0,0,11,3,2,1,2,1
assignment,com.ritika.springboot.assignment.controller,GetCustomerController,15,6,0,0,4,3,2,1,2,1
assignment,com.ritika.springboot.assignment.controller,LoginController,4,3,0,0,2,1,2,1,2,1
assignment,com.ritika.springboot.assignment.controller,ItemController,59,9,2,0,16,4,6,1,5,1
assignment,com.ritika.springboot.assignment.controller,CustomerController,51,11,4,0,12,4,5,1,3,1
assignment,com.ritika.springboot.assignment.controller,HomeController,11,6,0,0,3,3,1,1,1,1
assignment,com.ritika.springboot.assignment.entity,Item,153,44,25,1,4,13,24,4,11,4
assignment,com.ritika.springboot.assignment.entity,User,104,87,22,10,1,12,22,8,6,8
assignment,com.ritika.springboot.assignment.entity,Employee,205,41,39,1,6,15,29,8,9,8
assignment,com.ritika.springboot.assignment.entity,Customer,216,28,40,0,8,9,34,2,14,2
assignment,com.ritika.springboot.assignment.entity,Authority,147,6,24,0,9,3,23,1,11,1
assignment,com.ritika.springboot.assignment,AssignmentApplication,5,3,0,0,2,1,1,1,1,1
assignment,com.ritika.springboot.assignment.service,UserServiceImpl,0,12,0,0,0,5,0,2,0,2
assignment,com.ritika.springboot.assignment.service,EmployeeServiceImpl,10,36,1,1,2,12,2,4,1,4
assignment,com.ritika.springboot.assignment.service,ItemServiceImpl,6,40,1,1,1,13,1,5,0,5
assignment,com.ritika.springboot.assignment.service,CustomerServiceImpl,0,10,0,0,0,4,0,2,0,2
assignment,com.ritika.springboot.assignment.config,SecurityWebApplicationInitializer,3,0,0,0,1,0,1,0,1,0
assignment,com.ritika.springboot.assignment.config,SecurityConfig,0,82,0,0,0,20,0,3,0,3
